author_id,scholarly_output,citations_per_pub,most_recent_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub
6504573168,6,1.8,2021,11,0.09,3,0,2003
6504574323,19,1.8,2015,35,1.01,9,3,2008
6504575796,1,1,2021,1,0.44,3,0,2021
6504578835,26,7.8,2022,204,0.53,10,0,2011
6504583666,10,12,2022,120,0.74,8,0,2004
6504587725,25,10.8,2022,271,0.71,10,2,1997
6504589288,1,0,2014,0,0,1,0,2014
6504590243,1,0,2019,0,0,9,0,2019
6504592251,1,3,2013,3,0.29,2,0,2013
6504592769,1,1,2016,1,0.16,2,0,1998
6504595554,1,2,2012,2,0.16,2,0,2004
6504597589,4,0.5,2022,2,0.03,2,0,2005
6504598561,1,4,2013,4,0.9,2,0,2013
6504600187,1,0,2021,0,0,1,0,2002
6504600720,3,11.3,2017,34,0.45,9,0,2011
6504602133,2,4,2018,8,0.3,2,0,2018
6504602470,2,5,2019,10,0.09,2,0,2011
6504607579,3,0.7,2021,2,0.24,1,0,2001
6504614044,2,38.5,2018,77,3.29,23,2,2017
6504626942,1,5,2016,5,0.11,1,0,2016
6504628691,1,13,2017,13,1.11,5,0,2003
6504630876,2,5.5,2021,11,0.79,10,0,2020
6504630876,2,8.5,2015,17,4.83,10,1,2008
6504638892,1,14,2014,14,1.02,2,0,2014
6504643660,3,11.7,2019,35,0.54,5,0,2012
6504644797,1,7,2015,7,0.23,2,0,2003
6504645338,2,4,2021,8,0.81,2,0,2017
6504651223,2,5,2015,10,0.45,6,0,2005
6504657648,1,14,2014,14,0.22,1,0,2014
6504664266,8,8.5,2021,68,0.43,7,0,2002
6504664868,1,8,2017,8,0.37,2,0,2000
6504666837,6,7.7,2017,46,0.51,5,0,2010
6504666972,1,3,2012,3,0.17,2,0,1998
6504668444,1,10,2012,10,0.19,1,0,2012
6504670383,3,9.3,2016,28,0.46,9,0,2008
6504672976,12,11.5,2020,138,0.58,13,1,1997
6504673182,6,5.2,2021,31,0.4,5,0,2003
6504673723,8,10.1,2019,81,0.55,7,0,2003
6504674560,1,5,2014,5,0.46,3,0,2014
6504674879,2,9.5,2017,19,0.73,7,0,2016
6504680125,1,0,2016,0,0,3,0,1999
6504681245,1,0,2020,0,0,7,0,2020
6504681386,3,5.3,2021,16,1.83,2,1,2004
6504681797,1,2,2017,2,0.14,2,0,2017
6504682408,8,2,2022,16,0.53,2,0,2001
6504684693,13,19.5,2020,254,0.93,14,0,2000
6504694033,11,10.1,2022,111,0.65,7,0,2002
6504695973,1,0,2022,0,0,1,0,2011
6504701916,1,6,2013,6,0.28,4,0,2004
6504704625,4,9.8,2022,39,0.58,7,1,2003
6504704889,1,3,2017,3,0.24,5,0,2017
6504708453,1,23,2018,23,1.47,2,0,2002
6504708774,1,4,2013,4,0,1,0,2013
6504711400,1,0,2020,0,0,1,0,1999
6504713819,7,12,2022,84,0.7,5,0,2001
6504715563,22,11.5,2022,252,0.74,14,4,2004
6504719324,7,12.4,2018,87,1.17,5,1,2003
6504722403,11,3.5,2021,39,0.2,5,0,1999
6504723115,1,0,2015,0,0,2,0,2000
6504723468,5,3.6,2022,18,0.57,3,0,2003
6504726893,1,5,2012,5,0.24,13,0,2012
6504732811,2,8,2020,16,0.67,11,0,2014
6504735736,7,2.7,2020,19,0.34,6,0,2008
6504739503,5,20.4,2018,102,1.6,11,1,2006
6504741853,1,0,2016,0,0,1,0,2016
6504742210,1,1,2017,1,0.04,1,0,2017
6504742890,1,0,2017,0,0,0,0,2017
6504753019,10,4.8,2021,48,0.14,3,0,2011
6504754461,1,32,2014,32,2.36,3,0,1997
6504759675,48,2.6,2022,127,0.29,11,3,1996
6504759963,5,12.6,2018,63,0.56,7,0,2012
6504761323,1,3,2018,3,0.13,2,0,2004
6504766387,1,23,2014,23,1.58,1,0,2014
6504766731,6,13.8,2022,83,0.61,7,0,2004
6504771982,1,4,2018,4,0.23,2,0,1998
6504774198,1,2,2021,2,1.02,1,0,2021
6504774689,1,3,2015,3,0.22,3,0,2002
6504778390,1,20,2012,20,1.84,3,0,2004
6504780500,1,22,2018,22,2.25,13,0,2018
6504780739,6,5.8,2016,35,0.22,6,0,1997
6504780940,1,1,2016,1,0,1,0,1997
6504789213,3,4.7,2021,14,0.21,9,0,2015
6504791552,8,2.1,2022,17,0.08,3,0,2002
6504794713,1,4,2018,4,0.32,8,0,2018
6504794744,3,12,2018,36,0.5,3,0,2012
6504794915,11,8.5,2021,93,0.66,8,0,2003
6504798002,1,11,2018,11,0.39,5,0,2004
6504799259,8,4.9,2019,39,0.17,5,0,1997
6504802397,1,7,2013,7,0.13,4,0,1998
6504805230,1,6,2020,6,0.86,17,0,2020
6504805674,1,10,2018,10,0.82,17,0,2018
6504808587,1,2,2015,2,0.66,1,0,2015
6504811179,3,2.3,2017,7,0.16,3,0,2003
6504812124,10,5.7,2022,57,0.31,5,0,2014
6504817286,1,0,2016,0,0,31,0,2016
6504820760,5,12.6,2014,63,0.34,13,0,2012
6504821852,33,3.1,2020,101,0.51,8,1,2003
6504822177,2,1,2015,2,0,2,0,2000
6504826640,6,12.8,2021,77,0.45,10,0,2004
6504831726,1,39,2012,39,2.51,5,1,2012
6505454659,1,1,2012,1,0.06,2,0,2012
6505460492,1,22,2016,22,1.76,1,0,2016
6505463298,18,3.8,2022,68,0.35,7,0,2002
6505468375,9,180.4,2014,1624,5.68,12,10,2010
6505469665,2,27,2017,54,2.27,3,1,2013
6505473437,7,4.7,2021,33,0.5,5,0,2001
6505476579,2,1,2015,2,0.12,1,0,2014
6505476655,2,1.5,2019,3,0.56,3,0,2004
6505478600,2,9,2020,18,0.5,3,0,2010
6505480073,3,11.7,2022,35,5.07,7,1,2002
6505480976,1,7,2018,7,0.92,2,0,2001
6505483740,1,0,2019,0,0,1,0,1999
6505484246,1,1,2014,1,0.19,1,0,2014
6505490726,1,2,2013,2,0,1,0,2013
6505497846,5,13,2013,65,0.63,12,0,2012
6505500540,1,0,2014,0,0,0,0,2001
6505501130,13,6.6,2022,86,0.46,9,1,1999
6505502199,4,0.5,2020,2,0.49,1,0,1998
6505517639,21,13.5,2022,283,1.44,11,3,2015
6505527503,1,0,2013,0,0,0,0,2013
6505532966,8,30,2016,240,1.1,15,2,2008
6505533378,5,3.4,2019,17,0.3,3,0,2002
6505544363,28,10.9,2022,305,0.74,8,1,2003
6505546795,1,1,2019,1,0.15,1,0,2000
6505547369,1,4,2015,4,2.14,7,0,2006
6505550105,1,3,2018,3,0.31,3,0,2003
6505553001,2,26.5,2013,53,0.97,4,1,2011
6505553004,1,1,2022,1,2.66,3,0,2022
6505557266,6,5,2021,30,0.36,6,1,2002
6505558004,9,16.9,2022,152,1.06,8,1,2003
6505560196,8,0.4,2021,3,0.12,1,0,2003
6505562279,5,4.6,2021,23,0.28,6,0,2005
6505565996,2,5,2014,10,0.11,6,0,1999
6505566420,2,2,2021,4,0.25,2,0,2020
6505570098,2,9,2015,18,0.34,2,0,1997
6505574668,1,5,2014,5,0.46,3,0,2014
6505575799,3,0.7,2022,2,0.09,5,0,2020
6505577224,4,1.8,2022,7,0.17,4,0,2001
6505579052,38,6.5,2022,248,1.34,30,6,2017
6505584141,1,1,2020,1,1.74,2,0,1999
6505586399,4,5.5,2021,22,0.77,3,0,2020
6505588479,1,2,2019,2,0.19,1,0,2019
6505590345,1,0,2015,0,0,2,0,2015
6505591895,1,1,2016,1,0,1,0,2016
6505597849,1,26,2013,26,1.08,4,0,2013
6505599144,2,3.5,2021,7,0.94,1,0,2021
6505599641,1,16,2012,16,0.57,10,0,2012
6505599764,1,0,2019,0,0,1,0,2019
6505600128,1,4,2022,4,8.46,1,1,2022
6505601276,3,0.3,2022,1,0.06,1,0,2019
6505601823,2,5.5,2022,11,0.81,1,0,2018
6505608890,1,0,2019,0,0,1,0,2004
6505608956,2,8.5,2015,17,0.47,5,0,2003
6505610403,19,5.7,2022,108,0.45,7,1,2010
6505617726,3,3.3,2021,10,0.61,2,0,2017
6505620670,17,6.9,2021,118,0.67,8,2,2013
6505628013,4,13.3,2016,53,0.78,11,0,2014
6505628449,1,20,2013,20,1,4,0,2003
6505628621,1,31,2015,31,1.65,1,0,2015
6505631142,3,22,2019,66,0.74,3,0,2012
6505632028,3,5.7,2021,17,0.83,3,0,2001
6505632614,1,2,2021,2,0.72,1,0,2000
6505633895,1,3,2016,3,0.19,2,0,2004
6505639582,3,0.3,2021,1,0.04,2,0,2003
6505642069,10,16.1,2022,161,0.87,12,0,2013
6505646804,1,13,2016,13,0.32,8,0,2016
6505646804,4,18.3,2021,73,0.77,8,0,2015
6505654047,1,0,2013,0,0,0,0,2013
6505655826,1,13,2015,13,0.62,8,0,2015
6505657031,1,4,2019,4,0.31,2,0,2004
6505666753,1,3,2020,3,0.5,3,0,2006
6505673937,1,3,2019,3,0.3,1,0,2019
6505675014,9,15.8,2021,142,1.01,8,2,2002
6505676289,4,1.8,2017,7,0.12,2,0,2004
6505683507,1,22,2018,22,1.49,8,0,2018
6505686980,1,14,2016,14,0.97,2,0,2009
6505687808,1,11,2015,11,0,3,0,1998
6505694214,3,1.3,2019,4,0,1,0,1996
6505696416,1,0,2021,0,0,0,0,2021
6505698597,1,16,2014,16,0.4,3,0,2014
6505701257,1,2,2014,2,0,2,0,2014
6505703428,1,2,2015,2,0.57,2,0,2015
6505711889,5,56.6,2022,283,2.13,4,1,2003
6505712455,3,3.3,2021,10,0.56,3,0,2007
6505717827,1,1,2017,1,0.11,1,0,2017
6505719085,9,2,2022,18,0.25,6,0,2014
6505720684,3,7.7,2022,23,0.42,2,0,2017
6505720961,3,1.3,2013,4,0,5,0,2004
6505726935,1,2,2021,2,0.64,5,0,2021
6505726935,1,2,2021,2,0.64,5,0,2021
6505734288,1,0,2020,0,0,16,0,2020
6505745007,23,9.9,2022,227,0.89,9,2,2004
6505751148,1,0,2018,0,0,1,0,2007
6505754439,1,11,2019,11,0.98,3,0,2000
6505758085,13,8.1,2021,105,0.62,9,1,1999
6505758258,26,10.3,2022,267,0.6,18,1,2009
6505758312,8,12.6,2021,101,0.83,13,0,1997
6505761847,35,4.8,2022,169,0.38,8,0,2002
6505763588,7,2.4,2021,17,0.08,6,0,2003
6505765192,5,5.6,2021,28,0.24,17,0,1996
6505768739,3,18.7,2019,56,0.67,3,0,2003
6505770488,17,2.4,2021,41,0.37,10,0,2006
6505771388,1,5,2015,5,0.1,1,0,2015
6505772753,1,3,2015,3,0,12,0,1998
6505772905,1,103,2013,103,4.09,12,1,2002
6505775045,1,24,2020,24,2.9,15,1,2020
6505775945,4,6.3,2014,25,0.34,7,0,2013
6505777402,1,0,2022,0,0,5,0,2022
6505777402,1,0,2022,0,0,5,0,2022
6505777402,1,3,2020,3,0.42,5,0,2003
6505777402,1,3,2020,3,0.42,5,0,2003
6505782258,13,12.7,2021,165,0.8,11,1,1998
6505783296,1,19,2012,19,0.33,6,0,2002
6505783589,3,10,2014,30,1.63,10,1,2010
6505783736,2,5,2013,10,0.14,7,0,2007
6505784058,4,1.5,2021,6,0.16,2,0,2004
6505785458,4,5,2021,20,0.34,3,0,2016
6505786966,3,43.3,2015,130,1.59,5,1,1998
6505787182,4,3.8,2021,15,0.18,12,0,2017
6505787705,15,19.9,2020,298,1.09,15,2,1999
6505789521,14,96.9,2020,1356,7.55,10,4,2011
6505792601,1,282,2014,282,5.18,9,4,2002
6505796000,5,0.6,2020,3,0.08,3,0,1999
6505798611,1,1,2014,1,0.22,2,0,2001
6505798626,9,41.4,2022,373,2.05,14,2,2015
6505800013,1,2,2017,2,0,7,0,2017
6505800013,2,13.5,2015,27,0.85,7,0,2014
6505802749,6,1,2021,6,0.29,4,0,1998
6505802776,18,28.7,2022,516,1.65,23,4,1998
6505804080,28,16.5,2021,461,1.26,18,4,2002
6505804456,1,1,2014,1,0,2,0,1998
6505805742,1,0,2015,0,0,3,0,2015
6505806920,1,10,2015,10,0.24,8,0,2015
6505807346,10,3.9,2021,39,0.45,6,1,1999
6505811482,4,1.5,2021,6,0.2,2,0,2001
6505812448,1,0,2021,0,0,6,0,2004
6505816476,28,16.4,2022,459,1.48,24,8,2007
6505816668,1,0,2020,0,0,3,0,2000
6505818230,6,17.2,2017,103,0.7,11,0,2005
6505818959,21,7.5,2022,157,0.54,13,0,2007
6505819255,6,6.7,2019,40,0.49,9,0,2007
6505821917,3,3.3,2022,10,0.31,5,0,2019
6505824130,1,0,2021,0,0,1,0,2021
6505827261,3,1.7,2017,5,0.09,11,0,2011
6505832006,4,5,2017,20,0.2,6,0,2004
6505832907,1,2,2015,2,1.11,2,0,2015
6505833334,6,1.3,2022,8,0.24,2,0,1996
6505833570,1,4,2013,4,0.21,9,0,2013
6505833960,3,6,2021,18,0.59,7,0,2017
6505836371,19,10.7,2021,203,1.07,12,1,1997
6505836819,11,2.5,2022,27,0.91,5,3,2002
6505838466,1,5,2014,5,0,2,0,2004
6505840023,7,8,2020,56,0.68,7,0,2000
6505842306,31,14.8,2022,458,1.19,15,5,2002
6505845271,1,3,2021,3,1.17,9,0,2021
6505848693,29,15.1,2021,437,0.95,20,2,2003
6505849391,2,1,2017,2,0.07,1,0,2008
6505849874,5,6.8,2022,34,1.19,9,1,2015
6505850178,3,2.7,2021,8,0.37,5,0,2006
6505850839,1,0,2014,0,0,7,0,2014
6505851854,2,3.5,2016,7,0.23,5,0,1996
6505852315,1,2,2017,2,0,2,0,2003
6505857985,2,26,2017,52,0.85,12,0,2001
6505860126,24,3.3,2022,79,0.32,11,0,1998
6505863086,1,42,2018,42,3.75,1,1,2018
6505865807,13,19.2,2022,250,0.96,18,1,2011
6505866170,8,10.3,2022,82,2.41,25,2,2019
6505868036,3,3.3,2016,10,0.14,7,0,1997
6505870435,3,5.7,2015,17,0.2,8,0,1996
6505872407,1,1,2014,1,0,10,0,2014
6505873373,1,8,2018,8,0.52,1,0,2018
6505873475,2,2,2017,4,0.18,4,0,1998
6505876968,85,37.4,2022,3176,1.77,33,24,2003
6505882009,1,25,2016,25,2.44,8,5,2000
6505883982,1,0,2017,0,0,2,0,2017
6505884203,1,0,2020,0,0,2,0,2020
6505886020,2,0.5,2020,1,0,2,0,2011
6505888254,5,10.2,2022,51,0.72,7,3,2002
6505889447,3,4,2022,12,1.17,12,0,1996
6505889870,1,0,2020,0,0,6,0,2020
6505891376,8,11.1,2022,89,0.64,7,1,2001
6505893839,17,6.6,2022,113,0.72,12,8,1998
6505894417,6,1,2022,6,0.09,7,1,1998
6505895505,1,0,2016,0,0,0,0,2016
6505896606,2,27.5,2016,55,0.82,8,1,1999
6505897538,1,3,2021,3,0.66,20,0,2021
6505898338,1,0,2022,0,0,40,0,2022
6505900628,1,2,2013,2,2.27,2,0,2013
6505903651,5,7.6,2021,38,0.64,11,0,2012
6505904469,7,10.6,2022,74,0.71,6,0,2003
6505906897,2,1,2019,2,0.08,6,0,2017
6505906897,3,0,2021,0,0,6,0,2021
6505908038,3,4.3,2021,13,0.31,3,0,2002
6505908719,2,95.5,2018,191,3.96,5,3,2004
6505910402,15,8.7,2022,131,1.02,7,2,2009
6505912810,9,6.4,2019,58,0.52,9,1,1997
6505914727,10,1.4,2022,14,0.15,6,0,1996
6505914789,3,5.7,2020,17,0.32,9,0,2012
6505914985,5,3.2,2016,16,0.17,2,0,2005
6505915400,20,15,2022,300,0.91,18,1,1999
6505915546,24,8.3,2022,200,0.61,9,0,2003
6505917250,1,8,2015,8,1.04,6,0,2007
6505918222,57,16.3,2022,928,1.29,27,16,2009
6505923718,2,5,2018,10,0.28,7,0,2018
6505925154,1,1,2018,1,0.13,1,0,2018
