,author_id,scholarly_output,citations_per_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub,no_first_old,no_pubs_old,avg_fwci_old,avg_fwvi_old,avg_citescore_old,risingStar
1994,57194041414.0,2,6.0,12,0.44,2,0,2017,0.0,1.0,0.61,0.78,5.7,False
1995,57194043306.0,1,1.0,1,0.33,2,0,2017,0.0,1.0,0.33,1.24,0.0,False
1996,57194043786.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.39,0.5,False
1997,57194044481.0,2,3.0,6,0.2,2,0,2017,0.0,1.0,0.13,0.0,3.3,False
1998,57194044552.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.54,0.5,False
1999,57194044714.0,1,1.0,1,0.1,1,0,2017,0.0,1.0,0.1,1.56,3.8,False
2000,57194044751.0,1,17.0,17,1.45,2,0,2017,0.0,1.0,1.45,2.53,3.4,False
2001,57194045187.0,3,3.7,11,0.64,2,0,2017,0.0,2.0,0.785,1.32,2.9,False
2002,57194045501.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.02,0.5,False
2003,57194046386.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.54,0.5,False
2004,57194047228.0,1,1.0,1,0.08,1,0,2017,0.0,1.0,0.08,1.06,2.0,False
2005,57194047276.0,1,11.0,11,0.62,1,0,2017,0.0,1.0,0.62,0.25,9.9,False
2006,57194048665.0,1,1.0,1,0.08,1,0,2017,0.0,1.0,0.08,1.06,2.0,False
2007,57194049325.0,1,39.0,39,1.88,1,0,2017,0.0,1.0,1.88,2.52,5.1,False
2008,57194049975.0,8,17.1,137,0.95,8,0,2017,0.0,5.0,1.162,1.2520000000000002,5.96,False
2009,57194051884.0,1,21.0,21,2.17,1,0,2017,0.0,1.0,2.17,1.02,1.1,False
2010,57194052111.0,1,2.0,2,0.0,1,0,2017,0.0,2.0,0.045,1.77,4.199999999999999,False
2011,57194052953.0,1,39.0,39,1.88,1,0,2017,0.0,1.0,1.88,2.52,5.1,False
2012,57194054018.0,1,3.0,3,0.0,1,0,2017,0.0,1.0,0.0,1.33,1.5,False
2013,57194054504.0,7,42.0,294,3.28,9,6,2017,0.0,6.0,3.1750000000000003,1.3699999999999999,17.333333333333332,False
2014,57194055064.0,1,74.0,74,5.93,1,1,2017,0.0,1.0,5.93,1.7,23.9,False
2015,57194055098.0,3,7.3,22,0.52,2,0,2017,0.0,2.0,1.13,3.59,4.2,False
